Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,13,32,45,Butler, 1.88%, 4.64%, 6.52%,#FFFFAA,#FFFFAA,#FFFF55,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,713,8,67,75,Butler, 1.12%,  9.4%,10.52%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,108,145,Butler, 4.92%,14.36%,19.28%,#FFFFFF,#7FBF7F,#7FBF7F,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,14,36,Butler, 5.02%,  3.2%, 8.22%,#FFFFFF,#FFFF7F,#FFFF7F,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,780,31,56,87,Butler, 3.97%, 7.18%,11.15%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,43,67,Butler, 3.82%, 6.85%,10.67%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,23,52,75,Butler,  3.9%, 8.81%,12.71%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,42,90,Butler, 4.52%, 3.95%, 8.47%,#FFFFFF,#FFFFAA,#FFFF7F,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,26,45,71,Butler, 3.82%, 6.62%,10.44%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,820,14,38,52,Butler, 1.71%, 4.63%, 6.34%,#FFFFAA,#FFFFAA,#FFFF55,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1062,26,95,121,Butler, 2.45%, 8.95%,11.39%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,829,19,17,36,Butler, 2.29%, 2.05%, 4.34%,#FFFFD4,#FFFF7F,#FFFF2A,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
FAIR3WD2,699,20,57,77,Butler, 2.86%, 8.15%,11.02%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR3WD2,BUTLERAAN,FAIR3WD2,FAIR3WD2,Fairfield
